,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,38.93333333,-106.59,20150811,20150811,8051.0,20150811,180.0,94.0,120.0,76.0,1.8658108,86.0
1,0.1,A,38.4939,-106.98,20130523,20130523,8051.0,20130523,191.0,13.0,81.0,0.0,3.5934036,102.667
3,0.05,A,38.86277778,-106.88638889,20130525,20130525,8051.0,20130525,210.0,-16.0,96.0,0.0,2.3119364,102.667
4,0.1,A,38.2342,-107.2664,20140819,20140819,8051.0,20140819,163.0,68.0,96.0,76.0,1.7875723999999995,85.0
5,0.1,A,38.384833,-107.07256,20141006,20141006,8051.0,20141006,147.0,36.0,81.0,0.0,2.2629373,75.286
6,0.05,A,38.169603,-107.049203,20150623,20150624,8051.0,20150623,240.0,100.0,169.0,0.0,1.3202746,96.667
7,0.1,A,38.74333333,-106.47777778,20130908,20130908,8051.0,20130908,225.0,53.0,135.0,0.0,1.4803097,49.5
8,0.1,A,38.4884,-106.9635,20150830,20150830,8051.0,20150830,226.0,90.0,138.0,25.0,2.3644502,85.0
9,0.1,A,38.84527778,-106.42861111,20130707,20130707,8051.0,20130707,239.0,92.0,158.0,0.0,0.70661926,78.667
10,0.1,A,38.51808,-106.8419,20120626,20120626,8051.0,20120626,232.0,120.0,173.0,0.0,3.7326782,68.0
11,0.925,B,38.20769,-107.07169,20100628,20100701,8051.0,20100701,223.0,106.0,161.0,0.0,1.8179437,54.0
12,0.1,A,38.8225,-106.523056,20100731,20100731,8051.0,20100731,197.0,69.0,113.0,127.0,1.184439,130.333
13,0.1,A,38.4675,-106.9894,20120423,20120423,8051.0,20120423,193.0,-26.0,81.0,0.0,0.39294004,82.25
14,0.1,A,38.87388889,-106.88805556,20120516,20120516,8051.0,20120516,171.0,26.0,87.0,0.0,3.5350928,65.667
15,0.1,A,38.4986,-106.9467,20120425,20120425,8051.0,20120425,184.0,86.0,124.0,0.0,3.3134472,82.25
16,0.1,A,38.49416667,-106.43638889,20120618,20120618,8051.0,20120618,250.0,22.0,142.0,0.0,4.8776355,68.0
17,0.1,A,38.84416667,-106.51416667,20120617,20120617,8051.0,20120617,224.0,87.0,158.0,0.0,3.8158739,68.0
18,0.1,A,38.51972222,-107.31638889,20120513,20120513,8051.0,20120513,140.0,22.0,77.0,0.0,1.3203329,65.667
19,5.0,C,38.1942,-107.0592,20100521,20100522,8051.0,20100522,116.0,13.0,72.0,0.0,6.5590353000000015,54.0
20,0.1,A,38.90583333,-106.79277778,20130718,20130718,8051.0,20130718,240.0,96.0,138.0,102.0,1.1067492,83.0
21,5.0,C,38.1942,-107.0592,20100521,20100522,8051.0,20100521,186.0,25.0,112.0,0.0,2.324418,54.0
22,0.05,A,38.169603,-107.049203,20150623,20150624,8051.0,20150624,208.0,47.0,118.0,25.0,1.9256492,96.667
24,1.5,B,38.4141,-107.407203,20130522,20130522,8051.0,20130522,189.0,50.0,129.0,0.0,1.9044516,102.667
25,0.1,A,38.705,-106.90361111,20150928,20150928,8051.0,20150928,210.0,75.0,127.0,0.0,2.0317788,85.0
26,0.25,A,38.55111111,-106.61666667,20150621,20150621,8051.0,20150621,259.0,95.0,171.0,0.0,2.8692334,96.667
27,0.1,A,38.4996,-106.953797,20150609,20150609,8051.0,20150609,227.0,15.0,127.0,0.0,0.9124143,91.333
29,0.1,A,38.63888889,-107.18361111,20120725,20120725,8051.0,20120725,199.0,68.0,120.0,0.0,3.356728,87.0
31,0.3,B,38.46492,-107.26397,20100616,20100616,8051.0,20100616,202.0,63.0,130.0,0.0,3.618762,54.0
32,0.1,A,38.9069444,-106.565833,20100829,20100829,8051.0,20100829,174.0,43.0,99.0,0.0,4.2576313,130.333
33,0.925,B,38.20769,-107.07169,20100628,20100701,8051.0,20100628,233.0,78.0,136.0,0.0,1.1180393999999998,54.0
34,0.925,B,38.20769,-107.07169,20100628,20100701,8051.0,20100629,176.0,39.0,96.0,0.0,2.0906699,54.0
35,0.1,A,38.82805556,-106.94361111,20130618,20130618,8051.0,20130618,189.0,25.0,101.0,0.0,1.8569868000000005,102.667
38,0.1,A,38.79833333,-106.99972222,20130903,20130903,8051.0,20130903,214.0,61.0,120.0,25.0,1.1727368,49.5
39,0.925,B,38.20769,-107.07169,20100628,20100701,8051.0,20100630,228.0,108.0,166.0,0.0,2.4505072,54.0
41,0.1,A,38.4958,-106.9456,20150602,20150602,8051.0,20150602,209.0,5.0,105.0,0.0,2.8845491,89.667
44,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050904,212.0,57.0,121.0,0.0,2.503378,70.333
46,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081006,81.0,-10.0,26.0,0.0,3.8718145,71.333
47,0.1,A,38.3292,-107.2089,20010711,20010711,8051.0,20010711,206.0,51.0,119.0,51.0,1.53769,48.5
48,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050904,212.0,57.0,121.0,0.0,2.503378,70.333
49,0.15,B,38.83388889,-106.53361111,20010531,20010601,8051.0,20010601,159.0,-22.0,70.0,0.0,2.2156308,48.5
50,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050922,75.0,-6.0,31.0,25.0,1.1236109,70.333
51,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080804,198.0,74.0,109.0,0.0,1.3781816999999998,73.667
52,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080918,145.0,36.0,81.0,0.0,1.6227453,71.333
54,3.5901639344262297,D,38.54305556,-107.28611111,20120810,20121009,8051.0,20120811,238.0,92.0,147.0,0.0,3.2423055,87.0
56,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080910,129.0,53.0,74.0,51.0,2.777144,71.333
57,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050913,157.0,26.0,81.0,0.0,0.6319861,70.333
58,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050923,175.0,55.0,116.0,0.0,3.0200682,70.333
59,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050903,182.0,19.0,82.0,0.0,1.5241083,70.333
60,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050925,131.0,-20.0,52.0,0.0,2.6683402000000003,70.333
61,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081011,87.0,-14.0,45.0,76.0,4.9300017,71.333
62,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080911,158.0,36.0,80.0,127.0,0.25000304,71.333
64,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081010,125.0,46.0,74.0,0.0,4.2953220000000005,71.333
66,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050924,148.0,44.0,94.0,0.0,4.4787703,70.333
68,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081007,145.0,1.0,64.0,0.0,1.6124572,71.333
69,0.0625,B,38.81444444,-107.48361111,20070909,20070924,8051.0,20070919,174.0,25.0,95.0,0.0,3.7206104,94.0
70,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080823,211.0,80.0,134.0,0.0,1.3708667,69.667
71,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081009,127.0,-11.0,63.0,76.0,3.6069422,71.333
73,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080818,168.0,24.0,85.0,25.0,0.7017806,73.667
76,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081005,92.0,21.0,44.0,127.0,2.5563488,71.333
77,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130918,119.0,36.0,63.0,330.0,3.0924654,49.5
78,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050903,182.0,19.0,82.0,0.0,1.5241083,70.333
80,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081008,177.0,34.0,91.0,0.0,3.2003877,71.333
82,91.0,D,38.64583333,-106.85277778,20010705,20010706,8051.0,20010705,280.0,131.0,194.0,0.0,1.739545,48.5
83,2.0,B,38.5067,-107.1031,20010619,20010619,8051.0,20010619,208.0,22.0,108.0,0.0,0.33541018,48.5
85,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080907,212.0,46.0,119.0,0.0,1.0804713,71.333
86,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080810,176.0,73.0,114.0,51.0,0.63158697,73.667
87,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130920,177.0,16.0,86.0,0.0,1.1359615,49.5
88,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050918,176.0,-30.0,53.0,0.0,1.9020535,70.333
90,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050919,184.0,45.0,106.0,0.0,1.4230298,70.333
91,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080906,140.0,11.0,71.0,0.0,1.8282248,71.333
92,0.05,A,38.0705556,-106.826944,20100707,20100708,8051.0,20100708,197.0,57.0,97.0,0.0,1.542536,54.0
93,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080811,235.0,62.0,131.0,0.0,1.4003305,73.667
95,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080905,187.0,64.0,112.0,0.0,1.5890257,71.333
96,0.125,B,38.61888889,-107.33861111,20010713,20010716,8051.0,20010713,202.0,64.0,106.0,76.0,0.6428789,48.5
97,0.125,B,38.61888889,-107.33861111,20010713,20010716,8051.0,20010714,166.0,67.0,100.0,76.0,1.4006436000000002,48.5
98,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080919,168.0,36.0,89.0,0.0,1.1727302,71.333
101,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080824,205.0,55.0,109.0,0.0,0.7357376,69.667
102,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130919,143.0,40.0,78.0,0.0,1.1326439,49.5
104,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050905,190.0,26.0,82.0,0.0,1.9957162,70.333
105,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050921,139.0,57.0,101.0,178.0,2.3745308,70.333
107,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081004,62.0,14.0,31.0,102.0,3.1942732000000005,71.333
109,0.5,B,38.66666667,-106.84833333,20020420,20020420,8051.0,20020420,34.0,-74.0,-21.0,0.0,2.070104,57.0
111,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080809,207.0,75.0,119.0,0.0,1.9823745,73.667
112,0.3,B,38.463,-106.63,20010618,20010618,8051.0,20010618,234.0,62.0,140.0,0.0,2.7076535,48.5
113,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080909,160.0,34.0,73.0,51.0,2.804081,71.333
114,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081003,146.0,31.0,72.0,0.0,1.812412,71.333
115,0.1,A,38.78055556,-106.65472222,20010705,20010706,8051.0,20010705,280.0,131.0,194.0,0.0,1.739545,48.5
116,0.0333333333333333,A,38.5363889,-106.437778,20100708,20100710,8051.0,20100708,197.0,57.0,97.0,0.0,1.542536,54.0
117,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050920,203.0,62.0,123.0,0.0,1.3112693000000002,70.333
118,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050905,190.0,26.0,82.0,0.0,1.9957162,70.333
121,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080908,155.0,3.0,71.0,0.0,1.1078742,71.333
123,91.0,D,38.64583333,-106.85277778,20010705,20010706,8051.0,20010706,285.0,103.0,167.0,0.0,1.5654073,48.5
124,0.0625,B,38.81444444,-107.48361111,20070909,20070924,8051.0,20070924,72.0,-14.0,22.0,0.0,2.4980755,94.0
125,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050926,202.0,36.0,109.0,25.0,0.95860195,70.333
126,0.1,A,38.8122222,-106.530833,20100705,20100705,8051.0,20100705,161.0,14.0,81.0,0.0,2.777209,54.0
127,0.1,A,38.23444444,-106.63833333,20060530,20060530,8051.0,20060530,158.0,5.0,79.0,25.0,0.8731488000000002,92.333
128,0.05,A,38.23861111,-107.52805556,20070609,20070610,8051.0,20070609,213.0,-13.0,101.0,25.0,0.6280157,84.0
129,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050929,107.0,21.0,49.0,25.0,1.2310117,70.333
130,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050831,196.0,12.0,79.0,0.0,1.051193,70.333
131,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081020,127.0,23.0,58.0,0.0,1.9811443,71.333
133,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080820,225.0,86.0,142.0,0.0,1.9635137,73.667
136,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080822,252.0,16.0,139.0,0.0,2.0796373,69.667
138,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081019,137.0,25.0,67.0,0.0,1.7141733,71.333
140,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080914,190.0,34.0,95.0,0.0,0.3231109,71.333
141,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050901,207.0,67.0,135.0,0.0,1.0000061,70.333
142,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081018,154.0,-49.0,42.0,51.0,2.229916,71.333
143,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050930,140.0,0.0,57.0,0.0,3.1340919,70.333
145,0.5,B,38.5639,-106.9575,20020515,20020515,8051.0,20020515,200.0,20.0,86.0,0.0,1.473399,53.5
146,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051001,190.0,53.0,115.0,0.0,2.3046567,70.333
147,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050831,196.0,12.0,79.0,0.0,1.051193,70.333
148,0.05,A,38.2372,-107.0789,20130520,20130521,8051.0,20130520,82.0,-44.0,7.0,25.0,2.9601588,102.667
153,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080808,185.0,89.0,120.0,51.0,1.0907902,73.667
156,0.01,A,38.93518,-107.40091,20120802,20120811,8051.0,20120810,221.0,67.0,123.0,0.0,1.7528542,87.0
157,0.1,A,38.78055556,-106.65472222,20010705,20010706,8051.0,20010706,285.0,103.0,167.0,0.0,1.5654073,48.5
158,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080915,139.0,-3.0,63.0,0.0,0.7017806,71.333
159,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050830,182.0,16.0,95.0,0.0,2.859444,70.333
160,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080821,239.0,73.0,147.0,0.0,3.064722,69.667
161,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050830,182.0,16.0,95.0,0.0,2.859444,70.333
162,0.05,A,38.2372,-107.0789,20130520,20130521,8051.0,20130521,128.0,1.0,53.0,0.0,2.2655044,102.667
164,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050928,126.0,35.0,65.0,152.0,2.102966,70.333
165,0.3,B,38.24222222,-107.54444444,20020516,20020516,8051.0,20020516,107.0,-27.0,34.0,0.0,0.8645269,53.5
169,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051007,139.0,-21.0,43.0,25.0,2.1920354,70.333
170,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081017,157.0,5.0,59.0,0.0,1.104944,71.333
171,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130917,196.0,79.0,131.0,0.0,1.7974488999999998,49.5
174,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081014,106.0,-25.0,29.0,0.0,1.8398303,71.333
175,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050902,231.0,8.0,114.0,0.0,1.1520962,70.333
177,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080912,121.0,-3.0,50.0,76.0,0.29154447,71.333
178,0.05,A,38.23861111,-107.52805556,20070609,20070610,8051.0,20070610,212.0,75.0,146.0,0.0,1.0309154,84.0
179,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051006,83.0,-41.0,13.0,25.0,2.2291012,70.333
180,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081013,66.0,-86.0,-12.0,25.0,2.5821192,71.333
181,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050902,231.0,8.0,114.0,0.0,1.1520962,70.333
182,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130913,180.0,75.0,110.0,76.0,1.6070228000000002,49.5
183,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080819,182.0,31.0,89.0,0.0,0.87459373,73.667
186,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081012,49.0,-51.0,-9.0,25.0,2.8063123,71.333
187,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050917,157.0,-30.0,50.0,0.0,3.3021832000000004,70.333
190,0.01,A,38.93518,-107.40091,20120802,20120811,8051.0,20120811,238.0,92.0,147.0,0.0,3.2423055,87.0
191,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080913,180.0,-8.0,72.0,25.0,1.5882461,71.333
192,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080917,188.0,-7.0,84.0,0.0,1.3004979,71.333
194,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051002,181.0,-5.0,79.0,0.0,4.117081,70.333
195,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051003,191.0,51.0,104.0,0.0,4.7352753,70.333
196,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050901,207.0,67.0,135.0,0.0,1.0000061,70.333
198,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050927,156.0,15.0,72.0,25.0,3.1800017000000005,70.333
199,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080916,195.0,46.0,109.0,0.0,1.2041683,71.333
200,2.1025,C,38.5903,-106.7547,20120801,20120909,8051.0,20120810,221.0,67.0,123.0,0.0,1.7528542,87.0
201,0.1,A,38.23805556,-107.52888889,20070610,20070610,8051.0,20070610,212.0,75.0,146.0,0.0,1.0309154,84.0
202,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130912,181.0,63.0,108.0,102.0,2.053512,49.5
203,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051004,105.0,-46.0,39.0,0.0,6.0369806,70.333
204,0.05,A,38.0705556,-106.826944,20100707,20100708,8051.0,20100707,228.0,78.0,141.0,0.0,1.4542583,54.0
205,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081016,144.0,24.0,75.0,0.0,2.4721217,71.333
207,2.1025,C,38.5903,-106.7547,20120801,20120909,8051.0,20120811,238.0,92.0,147.0,0.0,3.2423055,87.0
208,0.1,A,38.24083333,-107.51222222,20070610,20070610,8051.0,20070610,212.0,75.0,146.0,0.0,1.0309154,84.0
209,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20051005,79.0,-41.0,7.0,25.0,1.0376861,70.333
210,0.0625,B,38.81444444,-107.48361111,20070909,20070924,8051.0,20070923,93.0,6.0,59.0,102.0,3.9541092,94.0
211,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081015,118.0,-23.0,28.0,0.0,0.66400754,71.333
215,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050906,169.0,46.0,92.0,25.0,0.6894239999999999,70.333
216,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20081002,133.0,-4.0,54.0,0.0,1.5871055,71.333
219,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130924,156.0,0.0,57.0,0.0,1.5391217,49.5
220,3.5901639344262297,D,38.54305556,-107.28611111,20120810,20121009,8051.0,20120817,224.0,95.0,141.0,25.0,1.750939,87.0
221,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050911,205.0,0.0,98.0,0.0,3.8042643,70.333
223,2.1025,C,38.5903,-106.7547,20120801,20120909,8051.0,20120817,224.0,95.0,141.0,25.0,1.750939,87.0
225,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080925,156.0,4.0,70.0,0.0,1.9811593,71.333
227,0.1,A,38.21138889,-107.46888889,20060624,20060624,8051.0,20060624,229.0,70.0,144.0,0.0,1.1455893999999998,98.667
228,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080829,233.0,83.0,146.0,25.0,1.5720694,69.667
229,0.1428571428571428,B,38.77722222,-106.86027778,20050909,20050915,8051.0,20050911,205.0,0.0,98.0,0.0,3.8042643,70.333
230,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080807,162.0,85.0,104.0,178.0,1.4506504999999998,73.667
231,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080921,118.0,43.0,75.0,25.0,3.8143034,71.333
232,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100710,162.0,52.0,95.0,0.0,1.5700348999999998,54.0
235,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080825,226.0,31.0,114.0,0.0,1.353848,69.667
236,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080806,192.0,102.0,130.0,76.0,0.60407466,73.667
238,4.382352941176471,E,38.19861111,-107.49166667,20130615,20130924,8051.0,20130914,147.0,74.0,101.0,76.0,1.1605644,49.5
241,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050910,163.0,2.0,73.0,0.0,4.146433,70.333
242,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080926,195.0,63.0,109.0,0.0,1.6230816,71.333
243,0.1428571428571428,B,38.77722222,-106.86027778,20050909,20050915,8051.0,20050910,163.0,2.0,73.0,0.0,4.146433,70.333
244,0.1428571428571428,B,38.77722222,-106.86027778,20050909,20050915,8051.0,20050914,141.0,-17.0,42.0,0.0,0.5385153,70.333
245,1.1,B,38.9333333,-106.589444,20100629,20100629,8051.0,20100629,176.0,39.0,96.0,0.0,2.0906699,54.0
247,3.5901639344262297,D,38.54305556,-107.28611111,20120810,20121009,8051.0,20120816,193.0,46.0,103.0,0.0,0.78102964,87.0
248,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050910,163.0,2.0,73.0,0.0,4.146433,70.333
249,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100716,239.0,65.0,151.0,0.0,1.582026,54.0
250,0.1,A,38.84916667,-107.18555556,20070625,20070625,8051.0,20070625,234.0,114.0,174.0,0.0,2.38053,112.333
251,0.0625,B,38.81444444,-107.48361111,20070909,20070924,8051.0,20070921,156.0,21.0,79.0,0.0,1.9986067,94.0
253,2.1025,C,38.5903,-106.7547,20120801,20120909,8051.0,20120816,193.0,46.0,103.0,0.0,0.78102964,87.0
256,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050911,205.0,0.0,98.0,0.0,3.8042643,70.333
258,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080826,170.0,29.0,77.0,76.0,2.891729,69.667
264,10.05,C,38.4917,-106.9411,20070629,20070630,8051.0,20070630,210.0,46.0,126.0,0.0,1.7121121,89.0
265,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080922,138.0,8.0,72.0,0.0,4.6205955,71.333
266,0.1428571428571428,B,38.77722222,-106.86027778,20050909,20050915,8051.0,20050913,157.0,26.0,81.0,0.0,0.6319861,70.333
268,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100714,218.0,61.0,136.0,0.0,3.1248853,54.0
269,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080827,180.0,38.0,101.0,0.0,2.6500583,69.667
270,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100712,181.0,22.0,102.0,0.0,3.5197933,54.0
273,0.05,A,38.35638889,-106.48138889,20070629,20070630,8051.0,20070630,210.0,46.0,126.0,0.0,1.7121121,89.0
275,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050913,157.0,26.0,81.0,0.0,0.6319861,70.333
276,10.05,C,38.4917,-106.9411,20070629,20070630,8051.0,20070629,246.0,94.0,165.0,0.0,1.2453486,89.0
277,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080815,176.0,63.0,108.0,25.0,1.8738412,73.667
278,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100713,212.0,53.0,126.0,0.0,3.2500098,54.0
279,0.05,A,38.35638889,-106.48138889,20070629,20070630,8051.0,20070629,246.0,94.0,165.0,0.0,1.2453486,89.0
280,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080816,179.0,48.0,92.0,51.0,2.3893287,73.667
285,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080924,195.0,57.0,120.0,0.0,0.97591317,71.333
286,0.0333333333333333,A,38.5363889,-106.437778,20100708,20100710,8051.0,20100710,162.0,52.0,95.0,0.0,1.5700348999999998,54.0
287,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080923,168.0,38.0,95.0,0.0,1.9777277,71.333
288,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080817,124.0,45.0,82.0,0.0,0.9124074,73.667
289,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050912,162.0,52.0,94.0,0.0,4.7077136,70.333
290,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100711,206.0,57.0,119.0,25.0,1.8685015,54.0
295,3.707317073170732,E,38.5675,-107.3375,20050722,20051011,8051.0,20050912,162.0,52.0,94.0,0.0,4.7077136,70.333
296,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100715,262.0,52.0,155.0,0.0,1.9416447,54.0
297,0.1428571428571428,B,38.77722222,-106.86027778,20050909,20050915,8051.0,20050912,162.0,52.0,94.0,0.0,4.7077136,70.333
301,10.944827586206896,F,38.55138889,-107.26666667,20080704,20081125,8051.0,20080828,202.0,34.0,106.0,0.0,1.4123025,69.667
304,0.25,B,38.69666667,-107.4525,20080927,20080928,8051.0,20080927,146.0,24.0,60.0,0.0,1.1962016000000002,71.333
305,1.28,C,38.1753,-107.2801,20050728,20050915,8051.0,20050914,141.0,-17.0,42.0,0.0,0.5385153,70.333
306,60.0,C,38.6089,-106.9392,20020403,20020403,8051.0,20020403,120.0,-51.0,24.0,0.0,1.2212288,57.0
308,3.5901639344262297,D,38.54305556,-107.28611111,20120810,20121009,8051.0,20120812,239.0,99.0,158.0,0.0,0.45540768,87.0
309,0.0192307692307692,A,38.1519444,-106.835278,20100709,20100721,8051.0,20100720,256.0,96.0,162.0,0.0,0.80709034,54.0
