,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,13745,0.1,A,35.3933,-115.8278,6,20070810,20070810,6071.0,20070810,439,322,383,0,2.844799,58.615
1,13746,0.1,A,34.27972222,-116.84583333,6,20091113,20091113,6071.0,20091113,439,322,383,0,2.0916338,109.333
2,13747,0.02,A,34.21638889,-116.88916667,6,20070812,20070812,6071.0,20070812,439,322,383,0,2.2147222,67.0
3,13748,0.1,A,34.33305556,-116.82972222,6,20070520,20070520,6071.0,20070520,439,322,383,0,2.934707,47.5
4,13749,0.1,A,34.6242,-116.9564,6,20070814,20070814,6071.0,20070814,439,322,383,0,2.2286572,67.0
5,13750,0.1,A,34.26,-117.18222222,6,20080720,20080720,6071.0,20080720,439,322,383,0,1.4402784,62.0
6,13751,0.25,A,34.02666667,-116.89666667,6,20070526,20070526,6071.0,20070526,439,322,383,0,2.9115915,54.0
7,13752,1.0,B,34.085647,-116.526436,6,20070515,20070515,6071.0,20070515,439,322,383,0,1.254002,60.5
8,13753,0.1,A,35.0131,-115.3822,6,20080807,20080807,6071.0,20080807,439,322,383,0,2.4233131,67.615
9,13754,0.1,A,35.3922,-115.8342,6,20070525,20070525,6071.0,20070525,439,322,383,0,1.9354103,80.308
10,13755,0.25,A,34.24555556,-116.83083333,6,20091111,20091111,6071.0,20091111,439,322,383,0,2.505773,109.333
11,13756,0.1,A,34.9467,-116.8525,6,20091029,20091029,6071.0,20091029,439,322,383,0,4.3511405,95.0
12,13757,0.1,A,34.09972222,-117.8,6,20091024,20091024,6071.0,20091024,439,322,383,0,1.1271222,95.0
13,13758,0.5,B,35.4744,-115.5864,6,20080803,20080803,6071.0,20080803,439,322,383,0,2.9241803,72.5
14,13759,0.1,A,34.74008,-114.52053,6,20070527,20070527,6071.0,20070527,439,322,383,0,2.4882393,54.0
15,13760,0.1,A,34.34944444,-117.20972222,6,20091111,20091111,6071.0,20091111,439,322,383,0,2.505773,109.333
16,13761,0.1,A,34.15,-116.25305556,6,20080720,20080720,6071.0,20080720,439,322,383,0,1.4402784,62.0
17,13762,0.1,A,34.24222222,-117.49944444,6,20070810,20070810,6071.0,20070810,439,322,383,0,2.844799,58.615
18,13763,0.1,A,34.09472222,-116.76,6,20080722,20080722,6071.0,20080722,439,322,383,0,2.5495145,58.0
19,13764,0.1,A,34.11361111,-116.98305556,6,20070814,20070815,6071.0,20070814,439,322,383,0,2.2286572,67.0
20,13765,0.5,B,35.4714,-115.5936,6,20070521,20070521,6071.0,20070521,439,322,383,0,3.6173234,47.5
21,13766,1247.0,F,34.27472222,-117.21694444,6,20071022,20071022,6071.0,20071022,439,322,383,0,7.2638125,160.0
22,13767,0.1,A,34.14861111,-116.87666667,6,20080721,20080721,6071.0,20080721,439,322,383,0,2.1751876,58.0
23,13768,108.0,D,35.7497,-115.9831,6,20080908,20080911,6071.0,20080908,439,322,383,0,2.2989843,77.308
24,13769,80.0,C,34.32694444,-117.4525,6,20070523,20070523,6071.0,20070523,439,322,383,0,1.2010382,54.0
25,13770,0.2,A,34.35027778,-117.45666667,6,20070809,20070809,6071.0,20070809,439,322,383,0,2.0935411,74.727
26,13771,37.0,C,34.26972222,-117.44888889,6,20080825,20080825,6071.0,20080825,439,322,383,0,2.3711853,59.0
